Consolidated Server,Contact OLTP Database,TCP,137,All
Consolidated Server,Contact OLTP Database,TCP,139,All
Consolidated Server,Contact OLTP Database,TCP,445,All
Consolidated Server,Contact OLTP Database,UDP,137,All
Consolidated Server,Contact OLTP Database,UDP,138,All
Consolidated Server,DPA Database,TCP,137,All
Consolidated Server,DPA Database,TCP,139,All
Consolidated Server,DPA Database,TCP,445,All
Consolidated Server,DPA Database,UDP,137,All
Consolidated Server,DPA Database,UDP,138,All
Consolidated Server,Framework Data Warehouse,TCP,137,All
Consolidated Server,Framework Data Warehouse,TCP,139,All
Consolidated Server,Framework Data Warehouse,TCP,445,All
Consolidated Server,Framework Data Warehouse,UDP,137,All
Consolidated Server,Framework Data Warehouse,UDP,138,All
Consolidated Server,Framework Database,TCP,137,All
Consolidated Server,Framework Database,TCP,139,All
Consolidated Server,Framework Database,TCP,445,All
Consolidated Server,Framework Database,UDP,137,All
Consolidated Server,Framework Database,UDP,138,All
Consolidated Server,Interaction Data Warehouse,TCP,137,All
Consolidated Server,Interaction Data Warehouse,TCP,139,All
Consolidated Server,Interaction Data Warehouse,TCP,445,All
Consolidated Server,Interaction Data Warehouse,UDP,137,All
Consolidated Server,Interaction Data Warehouse,UDP,138,All
Consolidated Server,QM Database,TCP,137,All
Consolidated Server,QM Database,TCP,139,All
Consolidated Server,QM Database,TCP,445,All
Consolidated Server,QM Database,UDP,137,All
Consolidated Server,QM Database,UDP,138,All
Consolidated Server,Speech Analytics Database,TCP,137,All
Consolidated Server,Speech Analytics Database,TCP,139,All
Consolidated Server,Speech Analytics Database,TCP,445,All
Consolidated Server,Speech Analytics Database,UDP,137,All
Consolidated Server,Speech Analytics Database,UDP,138,All
Consolidated Server,Speech Products Database,TCP,137,All
Consolidated Server,Speech Products Database,TCP,139,All
Consolidated Server,Speech Products Database,TCP,445,All
Consolidated Server,Speech Products Database,UDP,137,All
Consolidated Server,Speech Products Database,UDP,138,All
Contact & QM Database Server,Contact Database,TCP,137,All
Contact & QM Database Server,Contact Database,TCP,139,All
Contact & QM Database Server,Contact Database,TCP,445,All
Contact & QM Database Server,Contact Database,UDP,137,All
Contact & QM Database Server,Contact Database,UDP,138,All
Contact & QM Database Server,DPA Database,TCP,137,All
Contact & QM Database Server,DPA Database,TCP,139,All
Contact & QM Database Server,DPA Database,TCP,445,All
Contact & QM Database Server,DPA Database,UDP,137,All
Contact & QM Database Server,DPA Database,UDP,138,All
Contact & QM Database Server,QM Database,TCP,137,All
Contact & QM Database Server,QM Database,TCP,139,All
Contact & QM Database Server,QM Database,TCP,445,All
Contact & QM Database Server,QM Database,UDP,137,All
Contact & QM Database Server,QM Database,UDP,138,All
Contact OLTP & Archive Database Server,Archive Database,TCP,137,All
Contact OLTP & Archive Database Server,Archive Database,TCP,139,All
Contact OLTP & Archive Database Server,Archive Database,TCP,445,All
Contact OLTP & Archive Database Server,Archive Database,UDP,137,All
Contact OLTP & Archive Database Server,Archive Database,UDP,138,All
Contact OLTP & Archive Database Server,Contact OLTP Database,TCP,137,All
Contact OLTP & Archive Database Server,Contact OLTP Database,TCP,139,All
Contact OLTP & Archive Database Server,Contact OLTP Database,TCP,445,All
Contact OLTP & Archive Database Server,Contact OLTP Database,UDP,137,All
Contact OLTP & Archive Database Server,Contact OLTP Database,UDP,138,All
Data Center Server,Archive Database,TCP,137,All
Data Center Server,Archive Database,TCP,139,All
Data Center Server,Archive Database,TCP,445,All
Data Center Server,Archive Database,UDP,137,All
Data Center Server,Archive Database,UDP,138,All
Data Center Server,Contact Database,TCP,137,All
Data Center Server,Contact Database,TCP,139,All
Data Center Server,Contact Database,TCP,445,All
Data Center Server,Contact Database,UDP,137,All
Data Center Server,Contact Database,UDP,138,All
Data Center Server,Contact OLTP Database,TCP,137,All
Data Center Server,Contact OLTP Database,TCP,139,All
Data Center Server,Contact OLTP Database,TCP,445,All
Data Center Server,Contact OLTP Database,UDP,137,All
Data Center Server,Contact OLTP Database,UDP,138,All
Data Center Server,DPA Database,TCP,137,All
Data Center Server,DPA Database,TCP,139,All
Data Center Server,DPA Database,TCP,445,All
Data Center Server,DPA Database,UDP,137,All
Data Center Server,DPA Database,UDP,138,All
Data Center Server,Framework Data Warehouse,TCP,137,All
Data Center Server,Framework Data Warehouse,TCP,139,All
Data Center Server,Framework Data Warehouse,TCP,445,All
Data Center Server,Framework Data Warehouse,UDP,137,All
Data Center Server,Framework Data Warehouse,UDP,138,All
Data Center Server,Framework Database,TCP,137,All
Data Center Server,Framework Database,TCP,139,All
Data Center Server,Framework Database,TCP,445,All
Data Center Server,Framework Database,UDP,137,All
Data Center Server,Framework Database,UDP,138,All
Data Center Server,Interaction Data Warehouse,TCP,137,All
Data Center Server,Interaction Data Warehouse,TCP,139,All
Data Center Server,Interaction Data Warehouse,TCP,445,All
Data Center Server,Interaction Data Warehouse,UDP,137,All
Data Center Server,Interaction Data Warehouse,UDP,138,All
Data Center Server,QM Database,TCP,137,All
Data Center Server,QM Database,TCP,139,All
Data Center Server,QM Database,TCP,445,All
Data Center Server,QM Database,UDP,137,All
Data Center Server,QM Database,UDP,138,All
Data Center Server,Speech Analytics Database,TCP,137,All
Data Center Server,Speech Analytics Database,TCP,139,All
Data Center Server,Speech Analytics Database,TCP,445,All
Data Center Server,Speech Analytics Database,UDP,137,All
Data Center Server,Speech Analytics Database,UDP,138,All
Data Center Server,Speech Products Database,TCP,137,All
Data Center Server,Speech Products Database,TCP,139,All
Data Center Server,Speech Products Database,TCP,445,All
Data Center Server,Speech Products Database,UDP,137,All
Data Center Server,Speech Products Database,UDP,138,All
Data Warehouse Server,Framework Data Warehouse,TCP,137,All
Data Warehouse Server,Framework Data Warehouse,TCP,139,All
Data Warehouse Server,Framework Data Warehouse,TCP,445,All
Data Warehouse Server,Framework Data Warehouse,UDP,137,All
Data Warehouse Server,Framework Data Warehouse,UDP,138,All
